experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9530458450317383, max_false: 0.9508086442947388, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9860511422157288, max_false: 0.9746538400650024, correct: True
in: torch.Size([180, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9832561612129211, max_false: 0.9797763824462891, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9600428342819214, max_false: 0.9604017734527588, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9461063742637634, max_false: 0.93036949634552, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9525638818740845, max_false: 0.9172783493995667, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9114545583724976, max_false: 0.8906537294387817, correct: True
in: torch.Size([138, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.941792905330658, max_false: 0.9318432211875916, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8905768990516663, max_false: 0.8134158253669739, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.6663951873779297, max_false: 0.7249348163604736, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8485966324806213, max_false: 0.8013687133789062, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9738637208938599, max_false: 0.9671630859375, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.960135817527771, max_false: 0.9671630859375, correct: False
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9361115097999573, max_false: 0.8991665840148926, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8757920861244202, max_false: 0.8655989170074463, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9855444431304932, max_false: 0.9237555265426636, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9129319787025452, max_false: 0.9275046586990356, correct: False
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.977059006690979, max_false: 0.9567410349845886, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.963223397731781, max_false: 0.9567410349845886, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9853312969207764, max_false: 0.962748110294342, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9374624490737915, max_false: 0.962748110294342, correct: False
in: torch.Size([103, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9688843488693237, max_false: 0.957416832447052, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9120066165924072, max_false: 0.8963500261306763, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9723955392837524, max_false: 0.9561203718185425, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9433864951133728, max_false: 0.940013587474823, correct: True
